,Name,Address,Tags,Price,Google Rating,Type,Latitude,Longitude,Distance
64,Meze - Schlüterstraße,"Schlüterstraße 19, 10625 Berlin","Oriental, Mediterranean, Turkish, Vegetarian food, Vegan food",€??,4.6,Restaurant,52.5069454,13.3174213,0.6006546864941595
65,Good Friends - Too,"Kantstraße 31, 10625 Berlin","Chinese, Barbecue, Grill specialties, Delivery",€€,4.3,Restaurant,52.5062607,13.3172873,0.5667342283445318
66,Noodle Village,"Kantstraße 32, 10625 Berlin","Café, Vietnamese, Vegetarian food",€€,4.6,Café,52.5062675,13.316915,0.5892041592448449
67,Aroma,"Kantstraße 35, 10625 Berlin","Asian, Chinese, Cantonese",€€,3.9,Restaurant,52.5062595,13.3156796,0.6637775003268428
68,BY ALI,"Kantstraße 38, 10625 Berlin","Turkish, Delivery",€,3.9,Restaurant,52.5064184,13.3144502,0.7471714906689003
69,Ebn Tamshah,"Leibnizstraße 34, 10625 Berlin","Oriental, Arabic, Mediterranean, Lebanese, Moroccan",€,4.9,Restaurant,52.507012,13.3142031,0.7907090607922725
70,The Pink,"Kantstraße 132, 10625 Berlin","Café, International",€€,4.1,Café,52.5060367,13.3148474,0.706080029596763
71,DAO Thai-Restaurant,"Kantstraße 133, 10625 Berlin","Asian, Thai, Vegetarian food, Vegan food",€€,4.4,Restaurant,52.506055,13.3150677,0.6929062360040408
72,Sawaddie Thai Food,"Kantstraße 134, 10625 Berlin","Asian, Thai, Vegetarian food",€€,4.2,Restaurant,52.5060457,13.3155568,0.6617811897232361
73,Sun_days,"Kantstraße 134A, 10625 Berlin",Brunch,€??,5.0,Restaurant,52.5059829,13.3161924,0.6193670045154459
74,Outgrow Coffee,"Kantstraße 134B, 10625 Berlin","Café, German ",€€,4.7,Café,52.5059664,13.316565,0.5955262096679529
75,Funky Fisch,"Kantstraße 135, 10625 Berlin","European, Seafood, Vegetarian food",€€,4.4,Restaurant,52.5059258,13.3167979,0.579269193311439
76,Ngo Kim Pak,"Schlüterstraße 22, 10625 Berlin","Asian, Korean, Delivery",€€,4.3,Restaurant,52.5058061,13.317166,0.5509957157032391
77,Der Kuchenladen,"Kantstraße 138, 10623 Berlin","Café, Vegetarian food",€€,4.4,Café,52.5058884,13.3182467,0.48964247278589973
78,XXX Ramen Berlin,"Kantstraße 130, 10625 Berlin","Japanese, Delivery",€€,4.2,Restaurant,52.5060024,13.313628,0.7826225115185405
79,Tavola Calda,"Leibnizstraße 45, 10629 Berlin","European, Italian, Vegetarian food",€€,4.7,Restaurant,52.503825,13.313729,0.734380722169545
80,Hanoi's Corner,"Leibnizstraße 56, 10629 Berlin","Sushi, Asian, Vietnamese, Japanese, Vegetarian food, Vegan food, Delivery",€,4.4,Restaurant,52.5017546,13.3129938,0.8149024999192008
81,Samos,"Leibnizstraße 56, 10629 Berlin","Mediterranean, European, Greek, Vegetarian food, Vegan food, Delivery",€€,4.5,Restaurant,52.5017546,13.3129938,0.8149024999192008
82,KANT Café Restaurant Bar,"Walter-Benjamin-Platz 8, 10629 Berlin","International, European, German, Vegetarian food, Vegan food",€,3.8,Restaurant,52.5017035,13.3137428,0.7677402110240817
83,Phoenicia ,"Olivaer Pl. 15, 10707 Berlin","Mediterranean, Oriental, Arabic, Lebanese, Vegetarian food, Vegan food",€€,4.7,Restaurant,52.4998738,13.3142714,0.8197460007258315
84,Da Torino,"Bleibtreustraße 30, 10707 Berlin",Italian,€€,5.0,Restaurant,52.5000477,13.3194403,0.5377964301684052
85,DUDU 31,"Bleibtreustraße 31, 10707 Berlin","Asian, Japanese, Seafood, Sushi, Vegetarian food, Vegan food",€€,4.3,Restaurant,52.5001863,13.3194778,0.5244214475284869
86,Kreuzburger,"Knesebeckstraße 64, 10719 Berlin","American, Fast food, Burger, Vegetarian food, Vegan food",€,4.6,Restaurant,52.501536,13.3220483,0.29841631856983
87,Aller & Liebst Konditorei Cafe´,"Knesebeckstraße 54, 10719 Berlin","Café, International, Delivery",€€,4.3,Café,52.5001862,13.3218858,0.43505538374382663
88,May Restaurant,"Lietzenburger Straße 77, 10719 Berlin","Vietnamese, Vegetarian food, Vegan food, Delivery",€,4.4,Restaurant,52.4997986,13.3245704,0.4390022802713877
89,Burger City Uhlandstraße,"Uhlandstraße 38, 10719 Berlin","Fast food, Burger, Delivery",€,4.3,Restaurant,52.4996476,13.3245814,0.4558085872191766
90,Spice India Restaurant,"Uhlandstraße 161, 10719 Berlin","Asian, Indian, Vegetarian food, Vegan food, Delivery",€,4.3,Restaurant,52.4993569,13.3249974,0.4891232288910872
91,Rosso2,"Uhlandstraße 43, 10719 Berlin","Italian, Delivery",€??,4.9,Restaurant,52.498617,13.3243216,0.5706813191486135
92,I-Ke-Su,"Uhlandstraße 157, 10719 Berlin","Asian, Japanese, Seafood, Sushi, Vegetarian food, Vegan food, Delivery",€€,4.5,Restaurant,52.4985931,13.3248226,0.5734567647144663
93,Burger Route 2,"Uhlandstraße 157, 10719 Berlin","Fast food, Burger, Delivery",€??,4.3,Restaurant,52.4985931,13.3248226,0.5734567647144663
94,Viet Bowl,"Uhlandstraße 156, 10719 Berlin","Asian, Vietnamese, Vegetarian food, Vegan food, Delivery",€€,4.6,Restaurant,52.4984363,13.3247867,0.5908224063385729
95,Miro,"Uhlandstraße 33, 10719 Berlin","Café, European, Vegetarian food, Vegan food",€€,4.4,Café,52.5002822,13.3247497,0.385440305140901
96,Black & White Istanbul,"Uhlandstraße 171/172, 10719 Berlin","Oriental, Mediterranean, European, Turkish, Vegetarian food, Vegan food",€€,4.3,Restaurant,52.501101,13.3253173,0.298733887370702
97,Piccola Taormina,"Uhlandstraße 29, 10719 Berlin","Mediterranean, European, Italian, Pizza, Vegetarian food, Vegan food, Delivery",€,4.4,Restaurant,52.5012445,13.3248798,0.2790414741679982
98,The Klub Kitchen West,"Uhlandstraße 175, 10719 Berlin","Vegetarian food, Vegan food",€,4.9,Restaurant,52.5016687,13.3253857,0.23788327906282747
99,Schildkröte,"Kurfürstendamm 212, 10719 Berlin","European, Central European, German",€€,4.3,Restaurant,52.5018416,13.3253324,0.21834060011672451
100,Let's Go Sylt,"Kurfürstendamm 212, 10719 Berlin","Mediterranean, European, Seafood, Soup, Vegetarian food, Delivery",€€€,4.1,Restaurant,52.5018416,13.3253324,0.21834060011672451
101,Café im Literaturhaus - Wintergarten,"Fasanenstraße 23, 10719 Berlin",Café,€€,4.4,Café,52.5021388,13.3268653,0.23824379277686106
102,Ho Lin Wah,"Kurfürstendamm 218, 10719 Berlin","Asian, Chinese, Vegetarian food, Vegan food",€€,4.2,Restaurant,52.5027787,13.328119984856539,0.2655674267546501
103,est.,"Meinekestraße 20, 10719 Berlin","Asian, Japanese, Sushi, Seafood, Fusion, Vegetarian food",€€,4.6,Restaurant,52.5011776,13.3291888,0.42551218418655484
104,Diekmann,"Meinekestraße 7, 10719 Berlin","Vegetarian food, Vegan food, Lunch",€€€,4.4,Restaurant,52.5012284,13.3287328,0.3991059455127611
105,Fit & Organic by Adriana,"Olivaer Pl. 20, 10707 Berlin","International, Fusion",€??,4.8,Restaurant,52.5003326,13.3121037,0.9260864552297537
106,ShooLoongKan HotPot,"Meinekestraße 22, 10719 Berlin","Asian, Chinese",€??,4.2,Restaurant,52.5019505,13.3295301,0.3930627402789773
107,Mai Kudamm,"Meinekestraße 23, 10719 Berlin","Asian, Delivery",€??,4.8,Restaurant,52.5018828,13.3292969,0.38351936311408913
108,Gasthaus Krombach,"Meinekestraße 4, 10719 Berlin","German, Vegetarian food",€€,4.5,Restaurant,52.5020658,13.328875,0.34841332636460776
109,Ristorante-Arlecchino,"Ristorante-Arlecchino, Meinekestraße 25, 10719 Berlin","Mediterranean, European, Italian, Pizza, Vegetarian food, Vegan food",€€,4.4,Restaurant,52.5022752,13.3292939,0.3616316305064309
110,Zum Patzenhofer,"Meinekestraße 26, 10719 Berlin","Central European, European,  German, Pub, Vegetarian food",€€,4.5,Restaurant,52.502587,13.3294111,0.35473844861377724
111,Hard Rock Cafe,"Kurfürstendamm 224, 10719 Berlin","International, American, European, Vegetarian food",€€,4.3,Restaurant,52.5031121,13.3294737,0.34210934909303076
112,Alt-Berliner-Biersalon GmbH,"Kurfürstendamm 225-226, 10719 Berlin","European, Central European, German, Pub, Vegetarian food",€€,4.2,Restaurant,52.5025238,13.3256899,0.15649763096685426
113,Cucina Comoda,"Wielandstraße 11, 10629 Berlin","Mediterranean, European, Italian, Vegetarian food",€€,4.4,Restaurant,52.5044561,13.3153856,0.6268628254986919
114,DIMORA - Inh. Pasquale Dimora,"Wielandstraße 38, 10629 Berlin",Italian,€??,4.7,Restaurant,52.5040083,13.3157282,0.5992930112063589
115,Heno Heno,"Wielandstraße 37, 10629 Berlin","Asian, Japanese, Vegetarian food, Vegan food",€,4.6,Restaurant,52.5038973,13.3156892,0.6014612025055291
116,Auguste,"Mommsenstraße 61, 10629 Berlin","Café, International",€€,4.4,Café,52.5030271,13.3157834,0.6001487131226968
117,Cumberland,"Kurfürstendamm 194, 10707 Berlin",French,€??,4.5,Restaurant,52.500408449999995,13.318148110319513,0.5712512348087764
118,SUPERFOODS & ORGANIC LIQUIDS,"Schlüterstraße 37, 10629 Berlin","Café, European, Fusion",€€,3.9,Café,52.5022872,13.3167049,0.556386880724667
119,Café Sets,"Schlüterstraße 36, 10629 Berlin","Café, European, Vegetarian food, Vegan food",€€,4.1,Café,52.5025804,13.3166168,0.5535858738351417
120,Adnan,"Schlüterstraße 33, 10629 Berlin","Mediterranean, Italian, European, Vegetarian food",€€,4.3,Restaurant,52.503423,13.3168426,0.524116572835225
121,Baba Angora,"Schlüterstraße 29, 10629 Berlin","Turkish, Oriental, Mediterranean, Vegetarian food, Vegan food",€€€,4.3,Restaurant,52.5039802,13.3169304,0.5176043941041757
122,NU RESTAURANT,"Schlüterstraße 55, 10629 Berlin","Asian, Vegetarian food, Vegan food, Delivery",€€,4.4,Restaurant,52.5044978,13.3175573,0.48172788612583095
123,Pizza Como,"Schlüterstraße 24A, 10625 Berlin",Pizza,€,4.6,Restaurant,52.5050647,13.3171108,0.525650779909081
124,Café Aedes Signorello,"Bleibtreustraße 5A, 10623 Berlin","Café, Italian",€,4.6,Café,52.5056639,13.3198539,0.38346044891317577
125,Capone,"Kurfürstendamm 202, 10719 Berlin","Mediterranean, European, Italian, Pizza, Vegetarian food, Vegan food, Delivery",€€,4.2,Restaurant,52.5016365,13.3212851,0.3223792510958035
126,Auf Die Hand - Olivaer Platz,"Kurfürstendamm 182, 10707 Berlin","Café, Fast food",€,4.6,Café,52.5000577,13.3134952,0.8550358531340854
127,Sagano,"Kurfürstendamm 182, 10707 Berlin","Asian, Japanese, Sushi, Vegetarian food, Vegan food, Delivery",€€,4.0,Restaurant,52.5000577,13.3134952,0.8550358531340854
